,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,EDH09 COMDTY,EDM09 COMDTY,EDU09 COMDTY,EDZ09 COMDTY,EDH10 COMDTY,EDM10 COMDTY,EDU10 COMDTY,EDZ10 COMDTY,EDH11 COMDTY,EDM11 COMDTY,EDU11 COMDTY,EDZ11 COMDTY,EDH12 COMDTY,EDM12 COMDTY,EDU12 COMDTY,EDZ12 COMDTY,EDH13 COMDTY,EDM13 COMDTY,EDU13 COMDTY,EDZ13 COMDTY,EDH14 COMDTY,EDM14 COMDTY,EDU14 COMDTY,EDZ14 COMDTY,EDH15 COMDTY,EDM15 COMDTY,EDU15 COMDTY,EDZ15 COMDTY,EDH16 COMDTY,EDM16 COMDTY,EDU16 COMDTY,EDZ16 COMDTY,EDH17 COMDTY,EDM17 COMDTY,EDU17 COMDTY,EDZ17 COMDTY,EDH18 COMDTY,EDM18 COMDTY,EDU18 COMDTY,EDZ18 COMDTY,EDH19 COMDTY,EDM19 COMDTY,EDU19 COMDTY
02/24/2009,98.74,98.725,98.66,98.505,98.385,98.18,97.965,97.73,97.555,97.355,97.165,96.975,96.88,96.775,96.69,96.585,96.54,96.465,96.39,96.29,96.255,96.205,96.155,96.08,96.055,96.015,95.98,95.92,95.905,95.885,95.87,95.82,95.825,95.81,95.8,95.765,95.785,95.775,95.77,95.745,#N/A,#N/A,#N/A
02/25/2009,98.6975,98.675,98.595,98.41,98.265,98.045,97.825,97.59,97.41,97.2,97,96.795,96.685,96.57,96.475,96.365,96.315,96.235,96.155,96.05,96.015,95.965,95.915,95.84,95.815,95.775,95.74,95.68,95.67,95.655,95.645,95.605,95.615,95.6,95.59,95.555,95.575,95.565,95.56,95.535,#N/A,#N/A,#N/A
02/26/2009,98.7225,98.705,98.63,98.445,98.295,98.065,97.83,97.575,97.38,97.16,96.95,96.745,96.63,96.515,96.42,96.31,96.26,96.18,96.105,96,95.965,95.915,95.865,95.79,95.765,95.725,95.69,95.63,95.62,95.605,95.595,95.555,95.565,95.55,95.54,95.505,95.525,95.515,95.51,95.485,#N/A,#N/A,#N/A
02/27/2009,98.7125,98.695,98.625,98.455,98.33,98.115,97.895,97.645,97.44,97.205,96.98,96.755,96.625,96.5,96.395,96.275,96.215,96.13,96.055,95.95,95.915,95.86,95.8,95.72,95.69,95.645,95.605,95.545,95.53,95.515,95.505,95.465,95.475,95.46,95.45,95.415,95.435,95.425,95.42,95.395,#N/A,#N/A,#N/A
03/02/2009,98.72,98.725,98.7,98.575,98.48,98.275,98.055,97.805,97.6,97.36,97.13,96.9,96.765,96.635,96.525,96.4,96.33,96.235,96.15,96.04,96,95.94,95.88,95.795,95.765,95.72,95.68,95.615,95.6,95.585,95.575,95.535,95.54,95.525,95.515,95.48,95.5,95.49,95.485,95.46,#N/A,#N/A,#N/A
03/03/2009,98.715,98.71,98.67,98.53,98.425,98.215,97.995,97.75,97.56,97.335,97.12,96.9,96.77,96.64,96.535,96.415,96.345,96.25,96.17,96.06,96.02,95.96,95.9,95.815,95.785,95.74,95.7,95.635,95.62,95.605,95.595,95.555,95.56,95.545,95.535,95.5,95.52,95.51,95.505,95.48,#N/A,#N/A,#N/A
03/04/2009,98.6975,98.675,98.625,98.47,98.35,98.13,97.905,97.65,97.445,97.22,97.005,96.795,96.67,96.545,96.445,96.33,96.265,96.175,96.1,95.995,95.955,95.895,95.835,95.75,95.72,95.675,95.635,95.57,95.555,95.54,95.53,95.49,95.495,95.48,95.47,95.435,95.455,95.445,95.44,95.415,#N/A,#N/A,#N/A
03/05/2009,98.6775,98.655,98.625,98.495,98.41,98.22,98.015,97.775,97.595,97.385,97.195,97.005,96.895,96.785,96.695,96.59,96.54,96.46,96.395,96.3,96.265,96.21,96.155,96.075,96.05,96.01,95.975,95.91,95.895,95.88,95.87,95.83,95.835,95.82,95.81,95.775,95.795,95.785,95.78,95.755,#N/A,#N/A,#N/A
03/06/2009,98.64,98.57,98.54,98.415,98.355,98.18,97.985,97.755,97.575,97.36,97.17,96.985,96.88,96.775,96.69,96.585,96.54,96.465,96.405,96.315,96.28,96.225,96.17,96.09,96.065,96.025,95.99,95.925,95.91,95.895,95.885,95.845,95.85,95.835,95.825,95.79,95.81,95.8,95.795,95.77,#N/A,#N/A,#N/A
03/09/2009,98.565,98.475,98.44,98.315,98.27,98.11,97.935,97.725,97.555,97.34,97.145,96.95,96.84,96.73,96.64,96.535,96.485,96.41,96.345,96.255,96.22,96.165,96.11,96.03,96.005,95.965,95.93,95.865,95.85,95.835,95.825,95.785,95.79,95.775,95.765,95.73,95.75,95.74,95.735,95.71,#N/A,#N/A,#N/A
